ORCA_ID,Onset_Time_JW,Offset_Time_JW,Participant_JW,Handle_JW,Onset_Time_YZ,Offset_Time_YZ,Participant_YZ,Handle_YZ
2200,00:12:38:45,00:12:40:36,Child A,CompleteDown_Green,00:12:39:01,00:12:40:40,Child A,CompleteDown_Green
1014,00:00:35:14,00:00:37:04,Child A,CompleteDown_Green,00:00:35:16,00:00:37:02,Child A,CompleteDown_Green
1014,00:00:38:38,00:00:48:04,Child A,CompleteDown_Green,00:00:38:38,00:00:48:04,Child A,CompleteDown_Green
1014,00:00:51:44,00:00:56:04,Child A,CompleteDown_Green,00:00:52:00,00:00:56:18,Child A,CompleteDown_Green
1014,00:00:57:10,00:00:59:16,Child A,CompleteDown_Green,00:00:57:18,00:00:59:18,Child A,CompleteDown_Green
1014,00:01:00:34,00:01:01:34,Child A,CompleteDown_Green,00:01:00:42,00:01:01:28,Child A,CompleteDown_Green
1014,00:01:05:40,00:01:10:30,Child A,CompleteDown_Green,00:01:05:46,00:01:07:04,Child A,CompleteDown_Green
1014,00:01:12:38,00:01:24:36,Child A,CompleteDown_Green,00:01:12:42,00:01:24:14,Child A,CompleteDown_Green
1014,00:01:30:14,00:01:40:24,Child A,CompleteDown_Green,00:01:30:18,00:01:40:16,Child A,CompleteDown_Green
1014,00:01:45:44,00:02:04:46,Child A,CompleteDown_Green,00:01:46:20,00:01:47:06,Child A,CompleteDown_Green
1014,0,0,Child A,0,00:01:48:24,00:01:48:26,Child A,CompleteDown_Green
1014,0,0,Child A,0,00:01:49:28,00:01:51:02,Child A,CompleteDown_Green
1014,0,0,Child A,0,00:01:53:46,00:02:03:32,Child A,CompleteDown_Green
1014,00:02:34:48,00:02:43:06,Child A,CompleteDown_Green,00:02:35:06,00:02:43:06,Child A,CompleteDown_Green
1014,00:00:36:38,00:00:44:42,Child B,CompleteDown_Blue,00:00:36:42,00:00:44:42,Child B,CompleteDown_Blue
1014,00:00:49:36,00:01:01:46,Child B,CompleteDown_Blue,00:00:49:38,00:01:01:42,Child B,
1014,00:01:02:22,00:01:03:44,Child B,CompleteDown_Blue,00:01:02:30,00:01:03:40,Child B,CompleteDown_Blue
1014,00:01:04:40,00:01:09:36,Child B,CompleteDown_Blue,00:01:04:44,00:01:09:22,Child B,CompleteDown_Blue
1014,00:01:14:22,00:01:18:14,Child B,CompleteDown_Blue,00:01:14:26,00:01:18:10,Child B,CompleteDown_Blue
1014,00:01:20:10,00:01:22:42,Child B,CompleteDown_Blue,00:01:20:16,00:01:22:38,Child B,CompleteDown_Blue
1014,00:01:26:22,00:01:37:06,Child B,CompleteDown_Blue,00:01:26:22,00:01:36:48,Child B,CompleteDown_Blue
1014,00:01:41:38,00:01:52:28,Child B,CompleteDown_Blue,00:01:42:00,00:01:43:32,Child B,CompleteDown_Blue
1014,0,0,Child B,0,00:01:44:12,00:01:52:24,Child B,CompleteDown_Blue
1014,00:01:53:06,00:02:01:34,Child B,CompleteDown_Blue,00:01:53:14,00:01:54:18,Child B,CompleteDown_Blue
1014,0,0,Child B,0,00:01:54:24,00:02:01:22,Child B,CompleteDown_Blue
1014,00:02:12:22,00:02:15:02,Child B,CompleteDown_Green,00:02:12:26,00:02:14:46,Child B,CompleteDown_Green
1014,00:02:32:08,00:02:35:10,Child B,CompleteDown_Blue,00:02:32:08,00:02:34:14,Child B,CompleteDown_Blue
1014,00:02:36:04,00:02:38:08,Child B,CompleteDown_Blue,00:02:36:12,00:02:36:18,Child B,CompleteDown_Blue
1014,0,0,Child B,0,00:02:36:36,00:02:37:28,Child B,CompleteDown_Blue
1014,00:02:38:28,00:02:43:06,Child B,CompleteDown_Blue,00:02:38:36,00:02:43:06,Child B,CompleteDown_Blue
